"dest_state","year","state_total_received","nationality","state_nationality_received","dest_city","city_nationality_received","total"
"Alabama",2019,"21","Dem. Rep. Congo","13","Mobile",13,"27,514"
"Alabama",2019,"21","Honduras","4","Foley",4,"27,514"
"Alabama",2019,"21","Ukraine","4","Huntsville",4,"27,514"
"Alaska",2019,"39","Dem. Rep. Congo","8","Anchorage",8,"27,514"
"Alaska",2019,"39","Ukraine","31","Anchorage",5,"27,514"
"Alaska",2019,"39","Ukraine","31","Wasilla",26,"27,514"
"Arizona",2019,"1,143","Afghanistan","97","Glendale",42,"27,514"
"Arizona",2019,"1,143","Afghanistan","97","Phoenix",30,"27,514"
"Arizona",2019,"1,143","Afghanistan","97","Tucson",25,"27,514"
"Arizona",2019,"1,143","Burma","87","Glendale",61,"27,514"
"Arizona",2019,"1,143","Burma","87","Phoenix",26,"27,514"
"Arizona",2019,"1,143","Burundi","1","Phoenix",1,"27,514"
"Arizona",2019,"1,143","Cameroon","1","Phoenix",1,"27,514"
"Arizona",2019,"1,143","Central African Republic","19","Glendale",12,"27,514"
"Arizona",2019,"1,143","Central African Republic","19","Tucson",7,"27,514"
"Arizona",2019,"1,143","Colombia","11","Phoenix",6,"27,514"
"Arizona",2019,"1,143","Colombia","11","Tucson",5,"27,514"
"Arizona",2019,"1,143","Dem. Rep. Congo","710","Glendale",312,"27,514"
"Arizona",2019,"1,143","Dem. Rep. Congo","710","Phoenix",195,"27,514"
"Arizona",2019,"1,143","Dem. Rep. Congo","710","Tucson",203,"27,514"
"Arizona",2019,"1,143","Egypt","1","Phoenix",1,"27,514"
"Arizona",2019,"1,143","Eritrea","88","Glendale",22,"27,514"
"Arizona",2019,"1,143","Eritrea","88","Phoenix",29,"27,514"
"Arizona",2019,"1,143","Eritrea","88","Tucson",37,"27,514"
"Arizona",2019,"1,143","Ethiopia","19","Laveen",1,"27,514"
"Arizona",2019,"1,143","Ethiopia","19","Phoenix",13,"27,514"
"Arizona",2019,"1,143","Ethiopia","19","Tucson",5,"27,514"
"Arizona",2019,"1,143","Guinea","2","Phoenix",2,"27,514"
"Arizona",2019,"1,143","Honduras","3","Tucson",3,"27,514"
"Arizona",2019,"1,143","Iran","6","Glendale",2,"27,514"
"Arizona",2019,"1,143","Iran","6","Phoenix",4,"27,514"
"Arizona",2019,"1,143","Iraq","9","Peoria",3,"27,514"
"Arizona",2019,"1,143","Iraq","9","Phoenix",6,"27,514"
"Arizona",2019,"1,143","Liberia","9","Phoenix",2,"27,514"
"Arizona",2019,"1,143","Liberia","9","Tucson",7,"27,514"
"Arizona",2019,"1,143","Pakistan","12","Glendale",4,"27,514"
"Arizona",2019,"1,143","Pakistan","12","Tucson",8,"27,514"
"Arizona",2019,"1,143","Rwanda","1","Tucson",1,"27,514"
"Arizona",2019,"1,143","Senegal","2","Phoenix",2,"27,514"
"Arizona",2019,"1,143","Somalia","15","Glendale",4,"27,514"
"Arizona",2019,"1,143","Somalia","15","Phoenix",1,"27,514"
"Arizona",2019,"1,143","Somalia","15","Tucson",10,"27,514"
"Arizona",2019,"1,143","Sudan","16","Phoenix",8,"27,514"
"Arizona",2019,"1,143","Sudan","16","Tucson",8,"27,514"
"Arizona",2019,"1,143","Syria","28","Glendale",7,"27,514"
"Arizona",2019,"1,143","Syria","28","Phoenix",9,"27,514"
"Arizona",2019,"1,143","Syria","28","Tucson",12,"27,514"
"Arizona",2019,"1,143","Ukraine","5","Phoenix",5,"27,514"
"Arizona",2019,"1,143","United Arab Emirates","1","Glendale",1,"27,514"
"Arkansas",2019,"37","Colombia","5","Fayetteville",5,"27,514"
"Arkansas",2019,"37","Dem. Rep. Congo","25","Fayetteville",25,"27,514"
"Arkansas",2019,"37","Iran","1","Fayetteville",1,"27,514"
"Arkansas",2019,"37","Iraq","1","Fayetteville",1,"27,514"
"Arkansas",2019,"37","Liberia","5","Fayetteville",5,"27,514"
"California",2019,"1,802","Afghanistan","326","Carmichael",11,"27,514"
"California",2019,"1,802","Afghanistan","326","El Cajon",1,"27,514"
"California",2019,"1,802","Afghanistan","326","Fullerton",2,"27,514"
"California",2019,"1,802","Afghanistan","326","Glendale",18,"27,514"
"California",2019,"1,802","Afghanistan","326","Los Angeles",1,"27,514"
"California",2019,"1,802","Afghanistan","326","Los Gatos",2,"27,514"
"California",2019,"1,802","Afghanistan","326","Oakland",11,"27,514"
"California",2019,"1,802","Afghanistan","326","Sacramento",147,"27,514"
"California",2019,"1,802","Afghanistan","326","San Diego",68,"27,514"
"California",2019,"1,802","Afghanistan","326","Saugus",3,"27,514"
"California",2019,"1,802","Afghanistan","326","Turlock",57,"27,514"
"California",2019,"1,802","Afghanistan","326","Walnut Creek",5,"27,514"
"California",2019,"1,802","Armenia","24","Glendale",5,"27,514"
"California",2019,"1,802","Armenia","24","Los Angeles",3,"27,514"
"California",2019,"1,802","Armenia","24","North Highlands",10,"27,514"
"California",2019,"1,802","Armenia","24","Turlock",6,"27,514"
"California",2019,"1,802","Belarus","6","Citrus Heights",1,"27,514"
"California",2019,"1,802","Belarus","6","North Highlands",1,"27,514"
"California",2019,"1,802","Belarus","6","Sacramento",4,"27,514"
"California",2019,"1,802","Burma","65","Citrus Heights",1,"27,514"
"California",2019,"1,802","Burma","65","Glendale",4,"27,514"
"California",2019,"1,802","Burma","65","Oakland",5,"27,514"
"California",2019,"1,802","Burma","65","San Diego",51,"27,514"
"California",2019,"1,802","Burma","65","West Covina",4,"27,514"
"California",2019,"1,802","Burundi","4","San Diego",4,"27,514"
"California",2019,"1,802","Cameroon","1","San Diego",1,"27,514"
"California",2019,"1,802","Colombia","4","San Diego",4,"27,514"
"California",2019,"1,802","Dem. Rep. Congo","118","Fullerton",1,"27,514"
"California",2019,"1,802","Dem. Rep. Congo","118","Los Gatos",7,"27,514"
"California",2019,"1,802","Dem. Rep. Congo","118","Oakland",6,"27,514"
"California",2019,"1,802","Dem. Rep. Congo","118","San Diego",104,"27,514"
"California",2019,"1,802","El Salvador","48","Glendale",6,"27,514"
"California",2019,"1,802","El Salvador","48","Los Angeles",18,"27,514"
"California",2019,"1,802","El Salvador","48","Novato",1,"27,514"
"California",2019,"1,802","El Salvador","48","Oakland",12,"27,514"
"California",2019,"1,802","El Salvador","48","Palmdale",1,"27,514"
"California",2019,"1,802","El Salvador","48","Panorama City",4,"27,514"
"California",2019,"1,802","El Salvador","48","Simi Valley",4,"27,514"
"California",2019,"1,802","El Salvador","48","Stockton",1,"27,514"
"California",2019,"1,802","El Salvador","48","Turlock",1,"27,514"
"California",2019,"1,802","Eritrea","66","Citrus Heights",5,"27,514"
"California",2019,"1,802","Eritrea","66","Fullerton",4,"27,514"
"California",2019,"1,802","Eritrea","66","Glendale",3,"27,514"
"California",2019,"1,802","Eritrea","66","Oakland",21,"27,514"
"California",2019,"1,802","Eritrea","66","Sacramento",1,"27,514"
"California",2019,"1,802","Eritrea","66","San Diego",3,"27,514"
"California",2019,"1,802","Eritrea","66","Turlock",27,"27,514"
"California",2019,"1,802","Eritrea","66","Walnut Creek",2,"27,514"
"California",2019,"1,802","Ethiopia","7","San Diego",7,"27,514"
"California",2019,"1,802","Georgia","1","San Diego",1,"27,514"
"California",2019,"1,802","Guatemala","23","Glendale",9,"27,514"
"California",2019,"1,802","Guatemala","23","Los Angeles",3,"27,514"
"California",2019,"1,802","Guatemala","23","North Hollywood",7,"27,514"
"California",2019,"1,802","Guatemala","23","Oakland",3,"27,514"
"California",2019,"1,802","Guatemala","23","Walnut Creek",1,"27,514"
"California",2019,"1,802","Guinea","1","Oakland",1,"27,514"
"California",2019,"1,802","Honduras","2","Mendota",1,"27,514"
"California",2019,"1,802","Honduras","2","Victorville",1,"27,514"
"California",2019,"1,802","Iran","63","Burbank",1,"27,514"
"California",2019,"1,802","Iran","63","Glendale",23,"27,514"
"California",2019,"1,802","Iran","63","Granada Hills",1,"27,514"
"California",2019,"1,802","Iran","63","Irvine",1,"27,514"
"California",2019,"1,802","Iran","63","Los Angeles",8,"27,514"
"California",2019,"1,802","Iran","63","Los Gatos",6,"27,514"
"California",2019,"1,802","Iran","63","Sacramento",5,"27,514"
"California",2019,"1,802","Iran","63","San Diego",2,"27,514"
"California",2019,"1,802","Iran","63","Tarzana",2,"27,514"
"California",2019,"1,802","Iran","63","Turlock",8,"27,514"
"California",2019,"1,802","Iran","63","Walnut Creek",2,"27,514"
"California",2019,"1,802","Iran","63","Westminster",3,"27,514"
"California",2019,"1,802","Iran","63","Woodland Hills",1,"27,514"
"California",2019,"1,802","Iraq","85","Canoga Park",1,"27,514"
"California",2019,"1,802","Iraq","85","Carmichael",3,"27,514"
"California",2019,"1,802","Iraq","85","El Cajon",17,"27,514"
"California",2019,"1,802","Iraq","85","Glendale",2,"27,514"
"California",2019,"1,802","Iraq","85","Los Angeles",3,"27,514"
"California",2019,"1,802","Iraq","85","Los Gatos",3,"27,514"
"California",2019,"1,802","Iraq","85","National City",1,"27,514"
"California",2019,"1,802","Iraq","85","Sacramento",8,"27,514"
"California",2019,"1,802","Iraq","85","San Diego",41,"27,514"
"California",2019,"1,802","Iraq","85","San Francisco",3,"27,514"
"California",2019,"1,802","Iraq","85","Turlock",3,"27,514"
"California",2019,"1,802","Jordan","3","Los Gatos",2,"27,514"
"California",2019,"1,802","Jordan","3","North Hills",1,"27,514"
"California",2019,"1,802","Mali","1","Walnut Creek",1,"27,514"
"California",2019,"1,802","Moldova","115","North Highlands",97,"27,514"
"California",2019,"1,802","Moldova","115","Sacramento",14,"27,514"
"California",2019,"1,802","Moldova","115","San Diego",1,"27,514"
"California",2019,"1,802","Moldova","115","West Sacramento",3,"27,514"
"California",2019,"1,802","Pakistan","8","Glendale",2,"27,514"
"California",2019,"1,802","Pakistan","8","San Diego",3,"27,514"
"California",2019,"1,802","Pakistan","8","Walnut Creek",3,"27,514"
"California",2019,"1,802","Russia","39","Glendale",3,"27,514"
"California",2019,"1,802","Russia","39","Los Gatos",3,"27,514"
"California",2019,"1,802","Russia","39","North Highlands",24,"27,514"
"California",2019,"1,802","Russia","39","Sacramento",5,"27,514"
"California",2019,"1,802","Russia","39","San Diego",4,"27,514"
"California",2019,"1,802","Sudan","17","Oakland",1,"27,514"
"California",2019,"1,802","Sudan","17","San Diego",10,"27,514"
"California",2019,"1,802","Sudan","17","San Jose",1,"27,514"
"California",2019,"1,802","Sudan","17","Turlock",5,"27,514"
"California",2019,"1,802","Syria","115","El Cajon",1,"27,514"
"California",2019,"1,802","Syria","115","Glendale",25,"27,514"
"California",2019,"1,802","Syria","115","Los Angeles",3,"27,514"
"California",2019,"1,802","Syria","115","Los Gatos",6,"27,514"
"California",2019,"1,802","Syria","115","Mission Viejo",1,"27,514"
"California",2019,"1,802","Syria","115","North Highlands",4,"27,514"
"California",2019,"1,802","Syria","115","Sacramento",20,"27,514"
"California",2019,"1,802","Syria","115","San Diego",28,"27,514"
"California",2019,"1,802","Syria","115","Turlock",20,"27,514"
"California",2019,"1,802","Syria","115","Victorville",1,"27,514"
"California",2019,"1,802","Syria","115","Walnut Creek",6,"27,514"
"California",2019,"1,802","Ukraine","646","Antelope",9,"27,514"
"California",2019,"1,802","Ukraine","646","Carmichael",4,"27,514"
"California",2019,"1,802","Ukraine","646","Citrus Heights",34,"27,514"
"California",2019,"1,802","Ukraine","646","Elk Grove",2,"27,514"
"California",2019,"1,802","Ukraine","646","Elverta",9,"27,514"
"California",2019,"1,802","Ukraine","646","Fair Oaks",6,"27,514"
"California",2019,"1,802","Ukraine","646","Glendale",17,"27,514"
"California",2019,"1,802","Ukraine","646","La Jolla",1,"27,514"
"California",2019,"1,802","Ukraine","646","Los Gatos",2,"27,514"
"California",2019,"1,802","Ukraine","646","Modesto",17,"27,514"
"California",2019,"1,802","Ukraine","646","North Highlands",274,"27,514"
"California",2019,"1,802","Ukraine","646","Orangevale",4,"27,514"
"California",2019,"1,802","Ukraine","646","Rancho Cordova",24,"27,514"
"California",2019,"1,802","Ukraine","646","Rio Linda",5,"27,514"
"California",2019,"1,802","Ukraine","646","Roseville",1,"27,514"
"California",2019,"1,802","Ukraine","646","Sacramento",204,"27,514"
"California",2019,"1,802","Ukraine","646","San Diego",2,"27,514"
"California",2019,"1,802","Ukraine","646","Turlock",21,"27,514"
"California",2019,"1,802","Ukraine","646","West Sacramento",10,"27,514"
"California",2019,"1,802","Uzbekistan","10","North Highlands",4,"27,514"
"California",2019,"1,802","Uzbekistan","10","San Diego",6,"27,514"
"California",2019,"1,802","Vietnam","4","Glendale",4,"27,514"
"Colorado",2019,"526","Afghanistan","28","Denver",6,"27,514"
"Colorado",2019,"526","Afghanistan","28","Lakewood",22,"27,514"
"Colorado",2019,"526","Belarus","8","Lakewood",8,"27,514"
"Colorado",2019,"526","Burma","95","Denver",11,"27,514"
"Colorado",2019,"526","Burma","95","Greeley",24,"27,514"
"Colorado",2019,"526","Burma","95","Lakewood",60,"27,514"
"Colorado",2019,"526","Burundi","4","Greeley",4,"27,514"
"Colorado",2019,"526","Cameroon","1","Lakewood",1,"27,514"
"Colorado",2019,"526","Central African Republic","29","Denver",18,"27,514"
"Colorado",2019,"526","Central African Republic","29","Lakewood",11,"27,514"
"Colorado",2019,"526","Colombia","4","Denver",4,"27,514"
"Colorado",2019,"526","Dem. Rep. Congo","200","Denver",109,"27,514"
"Colorado",2019,"526","Dem. Rep. Congo","200","Greeley",26,"27,514"
"Colorado",2019,"526","Dem. Rep. Congo","200","Lakewood",65,"27,514"
"Colorado",2019,"526","Eritrea","55","Aurora",1,"27,514"
"Colorado",2019,"526","Eritrea","55","Denver",30,"27,514"
"Colorado",2019,"526","Eritrea","55","Greeley",10,"27,514"
"Colorado",2019,"526","Eritrea","55","Lakewood",14,"27,514"
"Colorado",2019,"526","Ethiopia","4","Denver",4,"27,514"
"Colorado",2019,"526","Guatemala","1","Denver",1,"27,514"
"Colorado",2019,"526","Iran","8","Denver",2,"27,514"
"Colorado",2019,"526","Iran","8","Lakewood",6,"27,514"
"Colorado",2019,"526","Iraq","13","Aurora",1,"27,514"
"Colorado",2019,"526","Iraq","13","Denver",5,"27,514"
"Colorado",2019,"526","Iraq","13","Lakewood",5,"27,514"
"Colorado",2019,"526","Iraq","13","Pueblo",2,"27,514"
"Colorado",2019,"526","Ivory Coast","1","Lakewood",1,"27,514"
"Colorado",2019,"526","Malawi","1","Greeley",1,"27,514"
"Colorado",2019,"526","Russia","6","Denver",6,"27,514"
"Colorado",2019,"526","Somalia","2","Denver",1,"27,514"
"Colorado",2019,"526","Somalia","2","Lakewood",1,"27,514"
"Colorado",2019,"526","Sri Lanka (Ceylon)","1","Lakewood",1,"27,514"
"Colorado",2019,"526","Sudan","4","Denver",3,"27,514"
"Colorado",2019,"526","Sudan","4","Lakewood",1,"27,514"
"Colorado",2019,"526","Syria","14","Denver",9,"27,514"
"Colorado",2019,"526","Syria","14","Lakewood",5,"27,514"
"Colorado",2019,"526","Uganda","1","Lakewood",1,"27,514"
"Colorado",2019,"526","Ukraine","32","Denver",32,"27,514"
"Colorado",2019,"526","Uzbekistan","4","Denver",4,"27,514"
"Colorado",2019,"526","Vietnam","10","Denver",2,"27,514"
"Colorado",2019,"526","Vietnam","10","Lakewood",8,"27,514"
"Connecticut",2019,"146","Afghanistan","20","Bridgeport",5,"27,514"
"Connecticut",2019,"146","Afghanistan","20","New Haven",15,"27,514"
"Connecticut",2019,"146","Burma","7","New Haven",7,"27,514"
"Connecticut",2019,"146","Colombia","6","New Haven",6,"27,514"
"Connecticut",2019,"146","Dem. Rep. Congo","73","Bridgeport",43,"27,514"
"Connecticut",2019,"146","Dem. Rep. Congo","73","New Haven",30,"27,514"
"Connecticut",2019,"146","Eritrea","13","Bridgeport",8,"27,514"
"Connecticut",2019,"146","Eritrea","13","New Haven",5,"27,514"
"Connecticut",2019,"146","Indonesia","1","New Haven",1,"27,514"
"Connecticut",2019,"146","Iran","6","New Haven",5,"27,514"
"Connecticut",2019,"146","Iran","6","Stratford",1,"27,514"
"Connecticut",2019,"146","Iraq","2","New Haven",2,"27,514"
"Connecticut",2019,"146","Palestine","6","New Haven",6,"27,514"
"Connecticut",2019,"146","Sudan","3","New Haven",3,"27,514"
"Connecticut",2019,"146","Syria","8","New Haven",8,"27,514"
"Connecticut",2019,"146","Ukraine","1","New Haven",1,"27,514"
"District of Columbia",2019,"3","Eritrea","2","Washington",2,"27,514"
"District of Columbia",2019,"3","Ethiopia","1","Washington",1,"27,514"
"Florida",2019,"624","Afghanistan","12","Clearwater",2,"27,514"
"Florida",2019,"624","Afghanistan","12","Jacksonville",7,"27,514"
"Florida",2019,"624","Afghanistan","12","Tampa",3,"27,514"
"Florida",2019,"624","Burma","28","Clearwater",1,"27,514"
"Florida",2019,"624","Burma","28","Doral",8,"27,514"
"Florida",2019,"624","Burma","28","Jacksonville",18,"27,514"
"Florida",2019,"624","Burma","28","Tampa",1,"27,514"
"Florida",2019,"624","Colombia","58","Clearwater",6,"27,514"
"Florida",2019,"624","Colombia","58","Doral",11,"27,514"
"Florida",2019,"624","Colombia","58","Lake Park",3,"27,514"
"Florida",2019,"624","Colombia","58","Lake Worth",3,"27,514"
"Florida",2019,"624","Colombia","58","Palm Springs",20,"27,514"
"Florida",2019,"624","Colombia","58","Tampa",15,"27,514"
"Florida",2019,"624","Cuba","1","Doral",1,"27,514"
"Florida",2019,"624","Dem. Rep. Congo","301","Clearwater",49,"27,514"
"Florida",2019,"624","Dem. Rep. Congo","301","Doral",4,"27,514"
"Florida",2019,"624","Dem. Rep. Congo","301","Jacksonville",71,"27,514"
"Florida",2019,"624","Dem. Rep. Congo","301","Saint Petersburg",3,"27,514"
"Florida",2019,"624","Dem. Rep. Congo","301","Tallahassee",119,"27,514"
"Florida",2019,"624","Dem. Rep. Congo","301","Tampa",55,"27,514"
"Florida",2019,"624","El Salvador","14","Clearwater",6,"27,514"
"Florida",2019,"624","El Salvador","14","Doral",3,"27,514"
"Florida",2019,"624","El Salvador","14","Freeport",2,"27,514"
"Florida",2019,"624","El Salvador","14","Palm Springs",1,"27,514"
"Florida",2019,"624","El Salvador","14","Pensacola",1,"27,514"
"Florida",2019,"624","El Salvador","14","Tampa",1,"27,514"
"Florida",2019,"624","Eritrea","20","Clearwater",5,"27,514"
"Florida",2019,"624","Eritrea","20","Doral",1,"27,514"
"Florida",2019,"624","Eritrea","20","Jacksonville",10,"27,514"
"Florida",2019,"624","Eritrea","20","Tampa",4,"27,514"
"Florida",2019,"624","Ethiopia","1","Tampa",1,"27,514"
"Florida",2019,"624","Guatemala","15","Doral",8,"27,514"
"Florida",2019,"624","Guatemala","15","Palm Springs",7,"27,514"
"Florida",2019,"624","Honduras","17","Doral",10,"27,514"
"Florida",2019,"624","Honduras","17","Palm Springs",1,"27,514"
"Florida",2019,"624","Honduras","17","Tampa",6,"27,514"
"Florida",2019,"624","Iran","3","Clearwater",2,"27,514"
"Florida",2019,"624","Iran","3","Jacksonville",1,"27,514"
"Florida",2019,"624","Iraq","4","Clearwater",1,"27,514"
"Florida",2019,"624","Iraq","4","Jacksonville",3,"27,514"
"Florida",2019,"624","Ivory Coast","2","Tampa",2,"27,514"
"Florida",2019,"624","Jamaica","1","Doral",1,"27,514"
"Florida",2019,"624","Russia","13","Clearwater",6,"27,514"
"Florida",2019,"624","Russia","13","Tampa",7,"27,514"
"Florida",2019,"624","Somalia","4","Clearwater",1,"27,514"
"Florida",2019,"624","Somalia","4","Tampa",3,"27,514"
"Florida",2019,"624","Sudan","8","Clearwater",8,"27,514"
"Florida",2019,"624","Syria","5","Clearwater",4,"27,514"
"Florida",2019,"624","Syria","5","Doral",1,"27,514"
"Florida",2019,"624","Ukraine","111","Clearwater",57,"27,514"
"Florida",2019,"624","Ukraine","111","Delray Beach",1,"27,514"
"Florida",2019,"624","Ukraine","111","Jacksonville",32,"27,514"
"Florida",2019,"624","Ukraine","111","Palm Coast",4,"27,514"
"Florida",2019,"624","Ukraine","111","Saint Augustine",3,"27,514"
"Florida",2019,"624","Ukraine","111","Tampa",14,"27,514"
"Florida",2019,"624","Vietnam","6","Jacksonville",6,"27,514"
"Georgia",2019,"1,050","Afghanistan","108","Atlanta",96,"27,514"
"Georgia",2019,"1,050","Afghanistan","108","Norcross",3,"27,514"
"Georgia",2019,"1,050","Afghanistan","108","Savannah",1,"27,514"
"Georgia",2019,"1,050","Afghanistan","108","Stone Mountain",4,"27,514"
"Georgia",2019,"1,050","Afghanistan","108","Tucker",4,"27,514"
"Georgia",2019,"1,050","Bhutan","4","Stone Mountain",4,"27,514"
"Georgia",2019,"1,050","Burma","210","Atlanta",197,"27,514"
"Georgia",2019,"1,050","Burma","210","Clarkston",4,"27,514"
"Georgia",2019,"1,050","Burma","210","Lilburn",7,"27,514"
"Georgia",2019,"1,050","Burma","210","Stone Mountain",2,"27,514"
"Georgia",2019,"1,050","Burundi","3","Atlanta",3,"27,514"
"Georgia",2019,"1,050","Cameroon","1","Atlanta",1,"27,514"
"Georgia",2019,"1,050","Central African Republic","26","Atlanta",26,"27,514"
"Georgia",2019,"1,050","Colombia","9","Atlanta",8,"27,514"
"Georgia",2019,"1,050","Colombia","9","Clarkston",1,"27,514"
"Georgia",2019,"1,050","Dem. Rep. Congo","426","Atlanta",399,"27,514"
"Georgia",2019,"1,050","Dem. Rep. Congo","426","Clarkston",5,"27,514"
"Georgia",2019,"1,050","Dem. Rep. Congo","426","Savannah",11,"27,514"
"Georgia",2019,"1,050","Dem. Rep. Congo","426","Stone Mountain",11,"27,514"
"Georgia",2019,"1,050","El Salvador","13","Atlanta",1,"27,514"
"Georgia",2019,"1,050","El Salvador","13","Colbert",2,"27,514"
"Georgia",2019,"1,050","El Salvador","13","Gainesville",1,"27,514"
"Georgia",2019,"1,050","El Salvador","13","Lawrenceville",1,"27,514"
"Georgia",2019,"1,050","El Salvador","13","Lithia Springs",1,"27,514"
"Georgia",2019,"1,050","El Salvador","13","Marietta",2,"27,514"
"Georgia",2019,"1,050","El Salvador","13","Stone Mountain",4,"27,514"
"Georgia",2019,"1,050","El Salvador","13","Sugar Hill",1,"27,514"
"Georgia",2019,"1,050","Eritrea","106","Atlanta",86,"27,514"
"Georgia",2019,"1,050","Eritrea","106","Decatur",4,"27,514"
"Georgia",2019,"1,050","Eritrea","106","Savannah",16,"27,514"
"Georgia",2019,"1,050","Ethiopia","6","Atlanta",6,"27,514"
"Georgia",2019,"1,050","Guatemala","11","Atlanta",11,"27,514"
"Georgia",2019,"1,050","Guinea","1","Atlanta",1,"27,514"
"Georgia",2019,"1,050","Honduras","6","Stone Mountain",6,"27,514"
"Georgia",2019,"1,050","Iran","6","Atlanta",5,"27,514"
"Georgia",2019,"1,050","Iran","6","Norcross",1,"27,514"
"Georgia",2019,"1,050","Iraq","5","Atlanta",3,"27,514"
"Georgia",2019,"1,050","Iraq","5","Decatur",2,"27,514"
"Georgia",2019,"1,050","Jamaica","2","Atlanta",2,"27,514"
"Georgia",2019,"1,050","Liberia","8","Atlanta",3,"27,514"
"Georgia",2019,"1,050","Liberia","8","Savannah",5,"27,514"
"Georgia",2019,"1,050","Nepal","1","Clarkston",1,"27,514"
"Georgia",2019,"1,050","Pakistan","9","Atlanta",9,"27,514"
"Georgia",2019,"1,050","Republic of South Sudan","3","Atlanta",3,"27,514"
"Georgia",2019,"1,050","Russia","2","Savannah",2,"27,514"
"Georgia",2019,"1,050","Rwanda","1","Atlanta",1,"27,514"
"Georgia",2019,"1,050","Somalia","5","Atlanta",4,"27,514"
"Georgia",2019,"1,050","Somalia","5","Stone Mountain",1,"27,514"
"Georgia",2019,"1,050","Sudan","6","Atlanta",5,"27,514"
"Georgia",2019,"1,050","Sudan","6","Stone Mountain",1,"27,514"
"Georgia",2019,"1,050","Syria","8","Atlanta",8,"27,514"
"Georgia",2019,"1,050","Ukraine","52","Atlanta",39,"27,514"
"Georgia",2019,"1,050","Ukraine","52","Flowery Branch",6,"27,514"
"Georgia",2019,"1,050","Ukraine","52","Stone Mountain",7,"27,514"
"Georgia",2019,"1,050","Venezuela","1","Atlanta",1,"27,514"
"Georgia",2019,"1,050","Vietnam","11","Atlanta",11,"27,514"
"Idaho",2019,"455","Afghanistan","21","Boise",21,"27,514"
"Idaho",2019,"455","Burma","27","Boise",15,"27,514"
"Idaho",2019,"455","Burma","27","Twin Falls",12,"27,514"
"Idaho",2019,"455","Cameroon","1","Boise",1,"27,514"
"Idaho",2019,"455","Central African Republic","7","Boise",7,"27,514"
"Idaho",2019,"455","Colombia","3","Boise",3,"27,514"
"Idaho",2019,"455","Dem. Rep. Congo","318","Boise",250,"27,514"
"Idaho",2019,"455","Dem. Rep. Congo","318","Twin Falls",68,"27,514"
"Idaho",2019,"455","Eritrea","14","Boise",9,"27,514"
"Idaho",2019,"455","Eritrea","14","Twin Falls",5,"27,514"
"Idaho",2019,"455","Iraq","2","Boise",2,"27,514"
"Idaho",2019,"455","Ivory Coast","5","Boise",5,"27,514"
"Idaho",2019,"455","Pakistan","4","Boise",4,"27,514"
"Idaho",2019,"455","Rwanda","6","Boise",6,"27,514"
"Idaho",2019,"455","Sudan","13","Boise",2,"27,514"
"Idaho",2019,"455","Sudan","13","Twin Falls",11,"27,514"
"Idaho",2019,"455","Syria","10","Boise",10,"27,514"
"Idaho",2019,"455","Ukraine","24","Boise",24,"27,514"
"Illinois",2019,"891","Afghanistan","24","Carol Stream",3,"27,514"
"Illinois",2019,"891","Afghanistan","24","Chicago",21,"27,514"
"Illinois",2019,"891","Burma","226","Carol Stream",47,"27,514"
"Illinois",2019,"891","Burma","226","Chicago",60,"27,514"
"Illinois",2019,"891","Burma","226","East Moline",11,"27,514"
"Illinois",2019,"891","Burma","226","Glen Ellyn",13,"27,514"
"Illinois",2019,"891","Burma","226","Glendale Heights",3,"27,514"
"Illinois",2019,"891","Burma","226","Moline",51,"27,514"
"Illinois",2019,"891","Burma","226","Rock Island",9,"27,514"
"Illinois",2019,"891","Burma","226","Rockford",25,"27,514"
"Illinois",2019,"891","Burma","226","Valley City",1,"27,514"
"Illinois",2019,"891","Burma","226","Warrenville",1,"27,514"
"Illinois",2019,"891","Burma","226","West Chicago",3,"27,514"
"Illinois",2019,"891","Burma","226","Wheaton",2,"27,514"
"Illinois",2019,"891","Central African Republic","47","Chicago",42,"27,514"
"Illinois",2019,"891","Central African Republic","47","Evanston",5,"27,514"
"Illinois",2019,"891","Dem. Rep. Congo","349","Aurora",4,"27,514"
"Illinois",2019,"891","Dem. Rep. Congo","349","Carol Stream",29,"27,514"
"Illinois",2019,"891","Dem. Rep. Congo","349","Chicago",179,"27,514"
"Illinois",2019,"891","Dem. Rep. Congo","349","Moline",33,"27,514"
"Illinois",2019,"891","Dem. Rep. Congo","349","Rock Island",6,"27,514"
"Illinois",2019,"891","Dem. Rep. Congo","349","Rockfod",3,"27,514"
"Illinois",2019,"891","Dem. Rep. Congo","349","Rockford",95,"27,514"
"Illinois",2019,"891","Eritrea","43","Chicago",42,"27,514"
"Illinois",2019,"891","Eritrea","43","Niles",1,"27,514"
"Illinois",2019,"891","Ethiopia","1","Chicago",1,"27,514"
"Illinois",2019,"891","Gambia","1","Chicago",1,"27,514"
"Illinois",2019,"891","Iran","4","Carol Stream",3,"27,514"
"Illinois",2019,"891","Iran","4","Chicago",1,"27,514"
"Illinois",2019,"891","Iraq","39","Aurora",3,"27,514"
"Illinois",2019,"891","Iraq","39","Bolingbrook",1,"27,514"
"Illinois",2019,"891","Iraq","39","Carol Stream",12,"27,514"
"Illinois",2019,"891","Iraq","39","Chicago",11,"27,514"
"Illinois",2019,"891","Iraq","39","Des Plaines",8,"27,514"
"Illinois",2019,"891","Iraq","39","Libertyville",2,"27,514"
"Illinois",2019,"891","Iraq","39","Mount Prospect",2,"27,514"
